# Sensor 01GENA001DP135RN - vertical direction.
# Created: Fri Oct 18 14:04:20 2019. Sampling Rate: 4000.0 Hz. No. of Samples: 20000
# Time [ns]; Acceleration [m/s2]
0.000000000000000000e+00;0.000000000000000000e+00
2.500000000000000000e+05;1.062477823766357222e-10
5.000000000000000000e+05;1.677800594633877660e-09
7.500000000000000000e+05;5.006141681753235241e-09
1.000000000000000000e+06;-8.340378594762201193e-08
1.250000000000000000e+06;-1.002426875411511373e-06
1.500000000000000000e+06;-5.277267277243385654e-06
1.750000000000000000e+06;-1.565850068751853635e-05
2.000000000000000000e+06;-2.343982090455299652e-05
2.250000000000000466e+06;4.752052846208555651e-06
2.500000000000000000e+06;9.523228207227800955e-05
2.750000000000000000e+06;1.830895393377781277e-04
3.000000000000000000e+06;1.299499370984274463e-04
3.250000000000000466e+06;-5.059832793588162146e-05
3.500000000000000000e+06;-1.071721163254713737e-04
3.750000000000000000e+06;6.217196423715474628e-05
4.000000000000000000e+06;1.471860142494197559e-04
4.250000000000000000e+06;-7.944404391284405772e-05
4.500000000000000931e+06;-3.387710693369338447e-04
4.750000000000000000e+06;-3.140174693606459294e-04
5.000000000000000000e+06;-1.019242537739482483e-04
5.250000000000000000e+06;5.593339138586984785e-05
5.500000000000000000e+06;6.416417039998729695e-05
5.750000000000000000e+06;-1.752747534945875616e-05
6.000000000000000000e+06;-2.403125102486121397e-05
6.250000000000000000e+06;1.105302699094176384e-04
6.500000000000000931e+06;2.289950401881709729e-04
6.750000000000000000e+06;1.640591274369237345e-04
7.000000000000000000e+06;-5.668889395109316692e-05
7.250000000000000000e+06;-2.137618142592193245e-04
7.500000000000000000e+06;-9.538007663349094660e-05
7.750000000000000000e+06;1.395680727540937814e-04
8.000000000000000000e+06;5.265028529041422995e-05
8.250000000000000000e+06;-2.870856744886759776e-04
8.500000000000000000e+06;-2.391208846205594772e-04
8.750000000000000000e+06;2.364252640167824630e-04
9.000000000000001863e+06;3.968147426575965517e-04
9.250000000000000000e+06;3.149961071111230082e-05
9.500000000000000000e+06;-2.891637270128166975e-04
9.750000000000000000e+06;-2.399979647464930467e-04
1.000000000000000000e+07;-8.814103672856285729e-06
1.025000000000000000e+07;1.516489308846334237e-04
1.050000000000000000e+07;1.003880079385431894e-04
1.075000000000000000e+07;-1.151266795199584449e-04
1.100000000000000000e+07;-1.654499089459935529e-04
1.125000000000000000e+07;1.544987516628379940e-04
1.150000000000000000e+07;4.778825331780916326e-04
1.175000000000000000e+07;3.785658934865365798e-04
1.200000000000000000e+07;3.858937541035093565e-06
1.225000000000000000e+07;-1.932467436168457792e-04
1.250000000000000000e+07;-2.499890942556114688e-05
1.275000000000000000e+07;1.454058779779197853e-04
1.300000000000000186e+07;-1.202878034270446424e-04
1.325000000000000000e+07;-5.081250996621897468e-04
1.350000000000000000e+07;-3.758002257549103984e-04
1.375000000000000000e+07;1.237833643439539366e-04
1.400000000000000000e+07;3.033554206313674633e-04
1.425000000000000000e+07;7.810196450988151164e-05
1.450000000000000000e+07;-9.281720394498152438e-05
1.475000000000000186e+07;-3.217426367688049451e-05
1.500000000000000000e+07;1.750776996460212307e-04
1.525000000000000000e+07;3.610219110165574920e-04
1.550000000000000000e+07;1.866164184145615061e-04
1.575000000000000000e+07;-2.876722563425572541e-04
1.600000000000000000e+07;-4.228047440264814699e-04
1.625000000000000000e+07;-2.820850169125382241e-05
1.650000000000000000e+07;2.815226245215354849e-04
1.675000000000000186e+07;9.823845994707289080e-05
1.700000000000000000e+07;-2.195823568555938616e-04
1.725000000000000000e+07;-2.041498980651944078e-04
1.750000000000000000e+07;8.176606380450240159e-05
1.775000000000000373e+07;2.088924606780333639e-04
1.800000000000000373e+07;-2.010146004983948416e-05
1.825000000000000000e+07;-2.840447113898127325e-04
1.850000000000000000e+07;-2.192774198244102160e-04
1.875000000000000000e+07;4.803673086163514722e-05
1.900000000000000000e+07;1.561984234785094997e-04
1.925000000000000000e+07;3.610041078642903229e-05
1.950000000000000000e+07;-9.659808360044909936e-05
1.975000000000000000e+07;-4.900994695089020374e-05
2.000000000000000000e+07;1.972320281288426642e-04
2.025000000000000000e+07;3.863008552522142211e-04
2.050000000000000000e+07;2.033232466439095516e-04
2.075000000000000000e+07;-1.768634813231121760e-04
2.100000000000000000e+07;-2.429820573436178494e-04
2.125000000000000000e+07;4.832899320508093899e-05
2.150000000000000000e+07;1.993844337817686572e-04
2.175000000000000373e+07;-2.315241654548371491e-05
2.200000000000000000e+07;-2.687642221446675736e-04
2.225000000000000000e+07;-2.135807216041983494e-04
2.250000000000000000e+07;2.985919422388411715e-05
2.275000000000000000e+07;1.555480455674261976e-04
2.300000000000000000e+07;5.804505615103575664e-05
2.325000000000000000e+07;-4.863239747556854955e-05
2.350000000000000000e+07;1.025449480687884903e-05
2.375000000000000000e+07;1.307131874333709008e-04
2.400000000000000000e+07;1.522657494555982552e-04
2.425000000000000000e+07;5.889380502007223004e-05
2.450000000000000000e+07;-2.785949685106784178e-05
2.475000000000000000e+07;-3.052135250550594685e-05
2.500000000000000000e+07;7.916577130259266182e-06
2.525000000000000000e+07;2.250101645184515240e-05
2.550000000000000000e+07;-4.264918698129789468e-05
2.575000000000000373e+07;-1.385138152303762001e-04
2.600000000000000373e+07;-1.285753208130467227e-04
2.625000000000000000e+07;1.198343710497116756e-05
2.650000000000000000e+07;1.250879778938544242e-04
2.675000000000000000e+07;3.289609309969019344e-05
